# Matrix DUMP with global indexes
# nRanks = 1
# Matrix DIM = 302x302
# Out precision = 16
# DUMP (global) start

rank = 0
iLocalPartitionID = 0
iLocalPartitionBgn = 0
iLocalPartitionEnd = 302
	gi = 0
		gj = 0
		block = [ 1.0000000000000000e+00 ]
		gj = 1
		block = [ -9.2341341377959141e-01 ]
		gj = 3
		block = [ -3.4336709629846904e-02 ]
		gj = 10
		block = [ -2.1133556961321465e-02 ]
		gj = 13
		block = [ -2.1133556961315480e-02 ]
	gi = 1
		gj = 0
		block = [ -1.4907520946510627e-01 ]
		gj = 1
		block = [ 1.0000000000000000e+00 ]
		gj = 2
		block = [ -8.4796704010114887e-01 ]
		gj = 5
		block = [ -1.7077928934159628e-03 ]
		gj = 11
		block = [ -7.5718715561996948e-04 ]
		gj = 15
		block = [ -7.5718715561987548e-04 ]
	gi = 2
		gj = 1
		block = [ -9.4370700503043137e-01 ]
		gj = 2
		block = [ 1.0000000000000000e+00 ]
		gj = 7
		block = [ -1.9916765685703400e-02 ]
		gj = 12
		block = [ -1.7969431135178699e-02 ]
		gj = 17
		block = [ -1.7969431135178609e-02 ]
	gi = 3
		gj = 0
		block = [ -8.4591556176593433e-03 ]
		gj = 3
		block = [ 1.0000000000000000e+00 ]
		gj = 4
		block = [ -8.4591556176593433e-03 ]
		gj = 5
		block = [ -9.8403893288844513e-01 ]
	gi = 4
		gj = 3
		block = [ -3.4336233526450440e-02 ]
		gj = 4
		block = [ 1.0000000000000000e+00 ]
		gj = 6
		block = [ -9.2341236770388169e-01 ]
		gj = 13
		block = [ -2.1134302617327738e-02 ]
		gj = 22
		block = [ -2.1134302617302293e-02 ]
	gi = 5
		gj = 1
		block = [ -4.2718957202992518e-04 ]
		gj = 3
		block = [ -1.7516823769404680e-01 ]
		gj = 5
		block = [ 1.0000000000000000e+00 ]
		gj = 6
		block = [ -4.2718957202992518e-04 ]
		gj = 7
		block = [ -8.2429853750910920e-01 ]
	gi = 6
		gj = 4
		block = [ -1.4914108376835489e-01 ]
		gj = 5
		block = [ -1.7084372403526717e-03 ]
		gj = 6
		block = [ 1.0000000000000000e+00 ]
		gj = 8
		block = [ -8.4790033412404342e-01 ]
		gj = 15
		block = [ -7.5726328989174753e-04 ]
		gj = 24
		block = [ -7.5726328989262389e-04 ]
	gi = 7
		gj = 2
		block = [ -5.3506786451641289e-03 ]
		gj = 5
		block = [ -9.8750814475909365e-01 ]
		gj = 7
		block = [ 1.0000000000000000e+00 ]
		gj = 8
		block = [ -5.3506786451714651e-03 ]
		gj = 9
		block = [ -1.2940817967516754e-03 ]
	gi = 8
		gj = 6
		block = [ -9.4368427467115779e-01 ]
		gj = 7
		block = [ -1.9925135331290752e-02 ]
		gj = 8
		block = [ 1.0000000000000000e+00 ]
		gj = 17
		block = [ -1.7976633766350968e-02 ]
		gj = 26
		block = [ -1.7976633766323458e-02 ]
	gi = 9
		gj = 7
		block = [ -1.0000000000633806e+00 ]
		gj = 9
		block = [ 1.0000000000000000e+00 ]
	gi = 10
		gj = 0
		block = [ -2.1710985975538600e-02 ]
		gj = 10
		block = [ 1.0000000000000000e+00 ]
		gj = 11
		block = [ -9.3630084781449185e-01 ]
		gj = 14
		block = [ -2.0615224121129566e-02 ]
		gj = 40
		block = [ -2.0615224121129566e-02 ]
	gi = 11
		gj = 1
		block = [ -4.8148906937803947e-03 ]
		gj = 10
		block = [ -9.3510705071075650e-01 ]
		gj = 11
		block = [ 1.0000000000000000e+00 ]
		gj = 12
		block = [ -5.5382864593227901e-02 ]
		gj = 16
		block = [ -2.2791910087938540e-03 ]
		gj = 42
		block = [ -2.2791910087938540e-03 ]
	gi = 12
		gj = 2
		block = [ -1.8266020293623939e-01 ]
		gj = 11
		block = [ -5.1234339248327032e-01 ]
		gj = 12
		block = [ 1.0000000000000000e+00 ]
		gj = 18
		block = [ -1.5292949885203352e-01 ]
		gj = 44
		block = [ -1.5292949885189192e-01 ]
	gi = 13
		gj = 0
		block = [ -1.4124392074233464e-02 ]
		gj = 4
		block = [ -1.4124953695780642e-02 ]
		gj = 13
		block = [ 1.0000000000000000e+00 ]
		gj = 14
		block = [ -1.8241395697954930e-02 ]
		gj = 15
		block = [ -9.3516709984811841e-01 ]
		gj = 19
		block = [ -1.8241395697954930e-02 ]
	gi = 14
		gj = 10
		block = [ -2.4579793068204923e-02 ]
		gj = 13
		block = [ -2.5235320534670633e-02 ]
		gj = 14
		block = [ 1.0000000000000000e+00 ]
		gj = 16
		block = [ -9.2013234677293820e-01 ]
		gj = 41
		block = [ -1.4952150635060243e-02 ]
		gj = 55
		block = [ -1.4952150635060243e-02 ]
	gi = 15
		gj = 1
		block = [ -4.1425541809740696e-03 ]
		gj = 6
		block = [ -4.1411788288013692e-03 ]
		gj = 13
		block = [ -9.4482766184349021e-01 ]
		gj = 15
		block = [ 1.0000000000000000e+00 ]
		gj = 16
		block = [ -2.2062513492895242e-03 ]
		gj = 17
		block = [ -4.2329894624152445e-02 ]
		gj = 20
		block = [ -2.2062513492895242e-03 ]
	gi = 16
		gj = 11
		block = [ -7.7589507134256486e-04 ]
		gj = 14
		block = [ -2.5990996936640776e-01 ]
		gj = 15
		block = [ -8.2868830420250678e-04 ]
		gj = 16
		block = [ 1.0000000000000000e+00 ]
		gj = 18
		block = [ -7.3719171452353971e-01 ]
		gj = 43
		block = [ -5.9898225532760158e-04 ]
		gj = 56
		block = [ -5.9898225532760158e-04 ]
	gi = 17
		gj = 2
		block = [ -1.5204942787272718e-01 ]
		gj = 8
		block = [ -1.5204651613531461e-01 ]
		gj = 15
		block = [ -4.2353291583212554e-01 ]
		gj = 17
		block = [ 1.0000000000000000e+00 ]
		gj = 18
		block = [ -1.3667191879729221e-01 ]
		gj = 21
		block = [ -1.3667191879729221e-01 ]
	gi = 18
		gj = 12
		block = [ -8.0103314697696094e-03 ]
		gj = 16
		block = [ -9.7170732133016136e-01 ]
		gj = 17
		block = [ -8.5984501535938986e-03 ]
		gj = 18
		block = [ 1.0000000000000000e+00 ]
		gj = 45
		block = [ -5.8706477038328484e-03 ]
		gj = 57
		block = [ -5.8706477038326810e-03 ]
	gi = 19
		gj = 13
		block = [ -2.5235996759259867e-02 ]
		gj = 19
		block = [ 1.0000000000000000e+00 ]
		gj = 20
		block = [ -9.2013027881409348e-01 ]
		gj = 22
		block = [ -2.4581226085889040e-02 ]
		gj = 28
		block = [ -1.4952117030729016e-02 ]
		gj = 55
		block = [ -1.4952117030729016e-02 ]
	gi = 20
		gj = 15
		block = [ -8.2867969292161974e-04 ]
		gj = 19
		block = [ -2.5989951395784811e-01 ]
		gj = 20
		block = [ 1.0000000000000000e+00 ]
		gj = 21
		block = [ -7.3720237076326900e-01 ]
		gj = 24
		block = [ -7.7568619862015400e-04 ]
		gj = 29
		block = [ -5.9899091372567692e-04 ]
		gj = 56
		block = [ -5.9899091372567692e-04 ]
	gi = 21
		gj = 17
		block = [ -8.5985658452123175e-03 ]
		gj = 20
		block = [ -9.7170858905368729e-01 ]
		gj = 21
		block = [ 1.0000000000000000e+00 ]
		gj = 26
		block = [ -8.0090755406602588e-03 ]
		gj = 30
		block = [ -5.8705836956459917e-03 ]
		gj = 57
		block = [ -5.8705836956459917e-03 ]
	gi = 22
		gj = 4
		block = [ -2.1715677465827986e-02 ]
		gj = 19
		block = [ -2.0621202897452503e-02 ]
		gj = 22
		block = [ 1.0000000000000000e+00 ]
		gj = 23
		block = [ -2.0621202897452503e-02 ]
		gj = 24
		block = [ -9.3628466853957604e-01 ]
	gi = 23
		gj = 22
		block = [ -2.6097245584780621e-02 ]
		gj = 23
		block = [ 1.0000000000000000e+00 ]
		gj = 25
		block = [ -9.4304397951492036e-01 ]
		gj = 28
		block = [ -1.5324464667117453e-02 ]
		gj = 31
		block = [ -1.5324464667117453e-02 ]
	gi = 24
		gj = 6
		block = [ -4.8142554239876349e-03 ]
		gj = 20
		block = [ -2.2791132301925965e-03 ]
		gj = 22
		block = [ -9.3507513972925016e-01 ]
		gj = 24
		block = [ 1.0000000000000000e+00 ]
		gj = 25
		block = [ -2.2791132301925965e-03 ]
		gj = 26
		block = [ -5.5415590481075826e-02 ]
	gi = 25
		gj = 23
		block = [ -2.5436051127768938e-01 ]
		gj = 24
		block = [ -7.8202283743820521e-04 ]
		gj = 25
		block = [ 1.0000000000000000e+00 ]
		gj = 27
		block = [ -7.4355608353863267e-01 ]
		gj = 29
		block = [ -6.0415348662000315e-04 ]
		gj = 33
		block = [ -6.0415348662000315e-04 ]
	gi = 26
		gj = 8
		block = [ -1.8267376548408340e-01 ]
		gj = 21
		block = [ -1.5291745331898904e-01 ]
		gj = 24
		block = [ -5.1235275337672714e-01 ]
		gj = 26
		block = [ 1.0000000000000000e+00 ]
		gj = 27
		block = [ -1.5291745331912648e-01 ]
	gi = 27
